案場名稱,年份,月份,時間分類,平均使用率,實際資料筆數,裝置容量,理論時段數,資料完整率
東部小水力 (hydro),2022,10,off-peak,59.9,2124,54.6,2124,100.0
東部小水力 (hydro),2022,10,peak,50.42,348,54.6,360,96.67
東部小水力 (hydro),2022,11,mid-peak,75.86,2329,54.6,2340,99.53
東部小水力 (hydro),2022,11,off-peak,76.83,1980,54.6,1980,100.0
東部小水力 (hydro),2022,12,mid-peak,60.69,2424,54.6,2430,99.75
東部小水力 (hydro),2022,12,off-peak,61.44,2033,54.6,2034,99.95
東部小水力 (hydro),2023,1,mid-peak,56.64,2328,54.6,2340,99.49
東部小水力 (hydro),2023,1,off-peak,56.63,2124,54.6,2124,100.0
東部小水力 (hydro),2023,2,mid-peak,45.55,2159,54.6,2160,99.95
東部小水力 (hydro),2023,2,off-peak,44.07,1871,54.6,1872,99.95
東部小水力 (hydro),2023,3,mid-peak,37.51,2339,54.6,2430,96.26
東部小水力 (hydro),2023,3,off-peak,35.94,2026,54.6,2034,99.61
東部小水力 (hydro),2023,4,mid-peak,35.27,2140,54.6,2250,95.11
東部小水力 (hydro),2023,4,off-peak,33.22,1884,54.6,2070,91.01
東部小水力 (hydro),2023,5,mid-peak,42.66,1995,54.6,1998,99.85
東部小水力 (hydro),2023,5,off-peak,44.13,2034,54.6,2034,100.0
東部小水力 (hydro),2023,5,peak,47.56,432,54.6,432,100.0
東部小水力 (hydro),2023,6,mid-peak,66.09,1543,54.6,1548,99.68
東部小水力 (hydro),2023,6,off-peak,66.25,1980,54.6,1980,100.0
東部小水力 (hydro),2023,6,peak,67.47,790,54.6,792,99.75
東部小水力 (hydro),2023,7,mid-peak,52.17,1507,54.6,1584,95.14
東部小水力 (hydro),2023,7,off-peak,52.35,2056,54.6,2124,96.8
東部小水力 (hydro),2023,7,peak,55.03,665,54.6,756,87.96
東部小水力 (hydro),2023,8,mid-peak,61.58,1574,54.6,1602,98.25
東部小水力 (hydro),2023,8,off-peak,60.23,2031,54.6,2034,99.85
東部小水力 (hydro),2023,8,peak,61.99,775,54.6,828,93.6
東部小水力 (hydro),2023,9,mid-peak,74.11,1567,54.6,1584,98.93
東部小水力 (hydro),2023,9,off-peak,71.2,1964,54.6,1980,99.19
東部小水力 (hydro),2023,9,peak,75.84,754,54.6,756,99.74
東部小水力 (hydro),2023,10,mid-peak,80.14,1961,54.6,1980,99.04
東部小水力 (hydro),2023,10,off-peak,81.58,2120,54.6,2124,99.81
東部小水力 (hydro),2023,10,peak,85.72,342,54.6,360,95.0
東部小水力 (hydro),2023,11,mid-peak,59.43,2338,54.6,2340,99.91
東部小水力 (hydro),2023,11,off-peak,58.53,1980,54.6,1980,100.0
東部小水力 (hydro),2023,12,mid-peak,52.32,2324,54.6,2340,99.32
東部小水力 (hydro),2023,12,off-peak,51.83,1961,54.6,2124,92.33
沃一風 (wind),2022,8,mid-peak,0.0,312,0.0,1602,19.48
沃一風 (wind),2022,8,off-peak,0.0,414,0.0,2034,20.35
沃一風 (wind),2022,8,peak,0.0,172,0.0,828,20.77
沃一風 (wind),2022,9,mid-peak,0.0,1548,0.0,1548,100.0
沃一風 (wind),2022,9,off-peak,0.0,1980,0.0,1980,100.0
沃一風 (wind),2022,9,peak,0.0,792,0.0,792,100.0
沃一風 (wind),2022,10,mid-peak,0.0,1976,0.0,1980,99.8
沃一風 (wind),2022,10,off-peak,0.0,2124,0.0,2124,100.0
沃一風 (wind),2022,10,peak,0.0,348,0.0,360,96.67
沃一風 (wind),2022,11,mid-peak,0.0,2329,0.0,2340,99.53
沃一風 (wind),2022,11,off-peak,0.0,1980,0.0,1980,100.0
沃一風 (wind),2022,12,mid-peak,0.0,2424,0.0,2430,99.75
沃一風 (wind),2022,12,off-peak,0.0,2033,0.0,2034,99.95
沃一風 (wind),2023,1,mid-peak,0.0,2328,0.0,2340,99.49
沃一風 (wind),2023,1,off-peak,0.0,2124,0.0,2124,100.0
沃一風 (wind),2023,2,mid-peak,0.0,2159,0.0,2160,99.95
沃一風 (wind),2023,2,off-peak,0.0,1871,0.0,1872,99.95
沃一風 (wind),2023,3,mid-peak,0.0,2339,0.0,2430,96.26
沃一風 (wind),2023,3,off-peak,0.0,2026,0.0,2034,99.61
沃一風 (wind),2023,4,mid-peak,0.0,2140,0.0,2250,95.11
沃一風 (wind),2023,4,off-peak,0.0,1884,0.0,2070,91.01
沃一風 (wind),2023,5,mid-peak,0.0,1995,0.0,1998,99.85
沃一風 (wind),2023,5,off-peak,0.0,2034,0.0,2034,100.0
沃一風 (wind),2023,5,peak,0.0,432,0.0,432,100.0
沃一風 (wind),2023,6,mid-peak,0.0,1543,0.0,1548,99.68
沃一風 (wind),2023,6,off-peak,0.0,1980,0.0,1980,100.0
沃一風 (wind),2023,6,peak,0.0,790,0.0,792,99.75
沃一風 (wind),2023,7,mid-peak,0.0,1507,0.0,1584,95.14
沃一風 (wind),2023,7,off-peak,0.0,2056,0.0,2124,96.8
沃一風 (wind),2023,7,peak,0.0,665,0.0,756,87.96
沃一風 (wind),2023,8,mid-peak,0.0,1574,0.0,1602,98.25
沃一風 (wind),2023,8,off-peak,0.0,2031,0.0,2034,99.85
沃一風 (wind),2023,8,peak,0.0,775,0.0,828,93.6
沃一風 (wind),2023,9,mid-peak,0.0,1567,0.0,1584,98.93
沃一風 (wind),2023,9,off-peak,0.0,1964,0.0,1980,99.19
沃一風 (wind),2023,9,peak,0.0,754,0.0,756,99.74
沃一風 (wind),2023,10,mid-peak,0.0,1961,0.0,1980,99.04
沃一風 (wind),2023,10,off-peak,0.0,2120,0.0,2124,99.81
沃一風 (wind),2023,10,peak,0.0,342,0.0,360,95.0
沃一風 (wind),2023,11,mid-peak,0.0,2338,0.0,2340,99.91
沃一風 (wind),2023,11,off-peak,0.0,1980,0.0,1980,100.0
沃一風 (wind),2023,12,mid-peak,0.0,2324,0.0,2340,99.32
沃一風 (wind),2023,12,off-peak,0.0,1961,0.0,2124,92.33
沃二風 (wind),2022,3,mid-peak,0.0,360,0.0,2430,14.81
沃二風 (wind),2022,3,off-peak,0.0,359,0.0,2034,17.65
沃二風 (wind),2022,4,mid-peak,0.0,2340,0.0,2340,100.0
沃二風 (wind),2022,4,off-peak,0.0,1980,0.0,1980,100.0
沃二風 (wind),2022,5,mid-peak,0.0,1872,0.0,1908,98.11
沃二風 (wind),2022,5,off-peak,0.0,2037,0.0,2124,95.9
沃二風 (wind),2022,5,peak,0.0,432,0.0,432,100.0
沃二風 (wind),2022,6,mid-peak,0.0,1506,0.0,1548,97.29
沃二風 (wind),2022,6,off-peak,0.0,1949,0.0,1980,98.43
沃二風 (wind),2022,6,peak,0.0,757,0.0,792,95.58
沃二風 (wind),2022,7,mid-peak,0.0,1580,0.0,1584,99.75
沃二風 (wind),2022,7,off-peak,0.0,2124,0.0,2124,100.0
沃二風 (wind),2022,7,peak,0.0,756,0.0,756,100.0
沃二風 (wind),2022,8,mid-peak,0.0,1596,0.0,1602,99.63
沃二風 (wind),2022,8,off-peak,0.0,2034,0.0,2034,100.0
沃二風 (wind),2022,8,peak,0.0,828,0.0,828,100.0
沃二風 (wind),2022,9,mid-peak,0.0,1548,0.0,1548,100.0
沃二風 (wind),2022,9,off-peak,0.0,1980,0.0,1980,100.0
沃二風 (wind),2022,9,peak,0.0,792,0.0,792,100.0
沃二風 (wind),2022,10,mid-peak,0.0,1976,0.0,1980,99.8
沃二風 (wind),2022,10,off-peak,0.0,2124,0.0,2124,100.0
沃二風 (wind),2022,10,peak,0.0,348,0.0,360,96.67
沃二風 (wind),2022,11,mid-peak,0.0,2329,0.0,2340,99.53
沃二風 (wind),2022,11,off-peak,0.0,1980,0.0,1980,100.0
沃二風 (wind),2022,12,mid-peak,0.0,2424,0.0,2430,99.75
沃二風 (wind),2022,12,off-peak,0.0,2033,0.0,2034,99.95
沃二風 (wind),2023,1,mid-peak,0.0,2328,0.0,2340,99.49
沃二風 (wind),2023,1,off-peak,0.0,2124,0.0,2124,100.0
沃二風 (wind),2023,2,mid-peak,0.0,2159,0.0,2160,99.95
沃二風 (wind),2023,2,off-peak,0.0,1871,0.0,1872,99.95
沃二風 (wind),2023,3,mid-peak,0.0,2339,0.0,2430,96.26
沃二風 (wind),2023,3,off-peak,0.0,2026,0.0,2034,99.61
沃二風 (wind),2023,4,mid-peak,0.0,2140,0.0,2250,95.11
沃二風 (wind),2023,4,off-peak,0.0,1884,0.0,2070,91.01
沃二風 (wind),2023,5,mid-peak,0.0,1995,0.0,1998,99.85
沃二風 (wind),2023,5,off-peak,0.0,2034,0.0,2034,100.0
沃二風 (wind),2023,5,peak,0.0,432,0.0,432,100.0
沃二風 (wind),2023,6,mid-peak,0.0,1543,0.0,1548,99.68
沃二風 (wind),2023,6,off-peak,0.0,1980,0.0,1980,100.0
沃二風 (wind),2023,6,peak,0.0,790,0.0,792,99.75
沃二風 (wind),2023,7,mid-peak,0.0,1507,0.0,1584,95.14
沃二風 (wind),2023,7,off-peak,0.0,2056,0.0,2124,96.8
沃二風 (wind),2023,7,peak,0.0,665,0.0,756,87.96
沃二風 (wind),2023,8,mid-peak,0.0,1574,0.0,1602,98.25
沃二風 (wind),2023,8,off-peak,0.0,2031,0.0,2034,99.85
沃二風 (wind),2023,8,peak,0.0,775,0.0,828,93.6
沃二風 (wind),2023,9,mid-peak,0.0,1567,0.0,1584,98.93
沃二風 (wind),2023,9,off-peak,0.0,1964,0.0,1980,99.19
沃二風 (wind),2023,9,peak,0.0,754,0.0,756,99.74
沃二風 (wind),2023,10,mid-peak,0.0,1961,0.0,1980,99.04
沃二風 (wind),2023,10,off-peak,0.0,2120,0.0,2124,99.81
沃二風 (wind),2023,10,peak,0.0,342,0.0,360,95.0
沃二風 (wind),2023,11,mid-peak,0.0,2338,0.0,2340,99.91
沃二風 (wind),2023,11,off-peak,0.0,1980,0.0,1980,100.0
沃二風 (wind),2023,12,mid-peak,0.0,2324,0.0,2340,99.32
沃二風 (wind),2023,12,off-peak,0.0,1961,0.0,2124,92.33
王功 (wind),2022,1,mid-peak,66.28,2180,23.0,2340,93.16
王功 (wind),2022,1,off-peak,56.95,2044,23.0,2124,96.23
王功 (wind),2022,2,mid-peak,69.82,2160,23.0,2160,100.0
王功 (wind),2022,2,off-peak,64.81,1872,23.0,1872,100.0
王功 (wind),2022,3,mid-peak,26.59,2430,23.0,2430,100.0
王功 (wind),2022,3,off-peak,25.75,2034,23.0,2034,100.0
王功 (wind),2022,4,mid-peak,35.3,2340,23.0,2340,100.0
王功 (wind),2022,4,off-peak,33.2,1980,23.0,1980,100.0
王功 (wind),2022,5,mid-peak,28.68,1872,23.0,1908,98.11
王功 (wind),2022,5,off-peak,26.23,2037,23.0,2124,95.9
王功 (wind),2022,5,peak,31.49,432,23.0,432,100.0
王功 (wind),2022,6,mid-peak,13.99,1506,23.0,1548,97.29
王功 (wind),2022,6,off-peak,8.2,1949,23.0,1980,98.43
王功 (wind),2022,6,peak,8.1,757,23.0,792,95.58
王功 (wind),2022,7,mid-peak,9.89,1580,23.0,1584,99.75
王功 (wind),2022,7,off-peak,4.45,2124,23.0,2124,100.0
王功 (wind),2022,7,peak,7.24,756,23.0,756,100.0
王功 (wind),2022,8,mid-peak,2.87,1596,23.0,1602,99.63
王功 (wind),2022,8,off-peak,0.87,2034,23.0,2034,100.0
王功 (wind),2022,8,peak,1.86,828,23.0,828,100.0
王功 (wind),2022,9,mid-peak,21.86,1548,23.0,1548,100.0
王功 (wind),2022,9,off-peak,15.93,1980,23.0,1980,100.0
王功 (wind),2022,9,peak,24.24,792,23.0,792,100.0
王功 (wind),2022,10,mid-peak,43.06,1976,23.0,1980,99.8
王功 (wind),2022,10,off-peak,37.96,2124,23.0,2124,100.0
王功 (wind),2022,10,peak,61.69,348,23.0,360,96.67
王功 (wind),2022,11,mid-peak,25.6,2329,23.0,2340,99.53
王功 (wind),2022,11,off-peak,20.92,1980,23.0,1980,100.0
王功 (wind),2022,12,mid-peak,76.8,2424,23.0,2430,99.75
